"Owner","Certificate Issuer Organization","Certificate Issuer Organizational Unit","Common Name or Certificate Name","Certificate Serial Number","SHA-256 Fingerprint","Certificate ID","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Trust Bits","EV Policy OID(s)","Approval Bug","NSS Release When First Included","Firefox Release When First Included","Test Website - Valid","Mozilla Applied Constraints","Company Website","Geographic Focus","Certificate Policy (CP)","Certification Practice Statement (CPS)","Standard Audit","BR Audit","EV Audit","Auditor","Standard Audit Type","Standard Audit Statement Dt"
"DocuSign (OpenTrust/Keynectis)","Certplus","","Class 2 Primary CA","0085bd4bf3d8dae369f694d75fc3a54423","0F:99:3C:8A:EF:97:BA:AF:56:87:14:0E:D5:9A:D1:82:1B:B4:AF:AC:F0:AA:9A:58:B5:D5:7A:33:8A:3A:FB:CB","36:E2:D3:4A:C0:81:2D:30:0A:CA:18:DF:10:F6:4F:7E:94:81:D3:D2:24:BD:9B:FA:66:A3:F9:44:04:89:0E:F3","1999 Jul 07","2019 Jul 06","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","1.3.6.1.4.1.22234.2.5.2.3.1","https://bugzilla.mozilla.org/show_bug.cgi?id=335392","NSS 3.11.8","Firefox 2","https://www.keynectis.com/en/","","https://www.opentrustdtm.com/","France, EMEA","https://www.opentrustdtm.com/security-policies/?lang=en","https://www.opentrustdtm.com/security-policies/?lang=en","https://bug1297034.bmoattachments.org/attachment.cgi?id=8849236","https://bug1297034.bmoattachments.org/attachment.cgi?id=8849236","https://bug1297034.bmoattachments.org/attachment.cgi?id=8849236","LSTI","ETSI TS 102 042","2017.01.14"
"DocuSign (OpenTrust/Keynectis)","OpenTrust","","OpenTrust Root CA G1","1120b39055397d7f366d64c2a79f6b638e67","56:C7:71:28:D9:8C:18:D9:1B:4C:FD:FF:BC:25:EE:91:03:D4:75:8E:A2:AB:AD:82:6A:90:F3:45:7D:46:0E:B4","79:F0:0B:77:17:33:39:2B:F5:60:81:EB:DD:DD:E8:F8:87:83:11:B3:07:4A:40:9C:1D:0C:C2:84:D6:F2:81:BD","2014 May 26","2038 Jan 15","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email","1.3.6.1.4.1.22234.2.14.3.11","https://bugzilla.mozilla.org/show_bug.cgi?id=1025095","NSS 3.25","Firefox 49","https://opentrustrootcag1-test.opentrust.com","None","https://www.opentrustdtm.com/","France, EMEA","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/DBD_PC_Certificats_Nume%CC%81riques_Personnels_RGS_etou_ETSI_v_2_0.pdf","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/EV_SSL_CA_Certification_Practice%20Statement_v_1_2.pdf","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","LSTI","ETSI EN 319 411","2017.07.24"
"DocuSign (OpenTrust/Keynectis)","OpenTrust","","OpenTrust Root CA G2","1120a1691bbfbdb9bd52968f23e848bf2611","27:99:58:29:FE:6A:75:15:C1:BF:E8:48:F9:C4:76:1D:B1:6C:22:59:29:25:7B:F4:0D:08:94:F2:9E:A8:BA:F2","3C:EE:65:E2:C2:F5:8A:B6:6A:5D:20:0C:B2:CD:28:AA:E4:FB:97:36:0B:4F:9A:EF:CF:AA:98:43:3D:AC:E4:94","2014 May 26","2038 Jan 15","RSA 4096 bits","sha512WithRSAEncryption","Websites;Email","1.3.6.1.4.1.22234.2.14.3.11","https://bugzilla.mozilla.org/show_bug.cgi?id=1025095","NSS 3.25","Firefox 49","https://opentrustrootcag2-test.opentrust.com","None","https://www.opentrustdtm.com/","France, EMEA","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/DBD_PC_Certificats_Nume%CC%81riques_Personnels_RGS_etou_ETSI_v_2_0.pdf","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/EV_SSL_CA_Certification_Practice%20Statement_v_1_2.pdf","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","LSTI","ETSI EN 319 411","2017.07.24"
"DocuSign (OpenTrust/Keynectis)","OpenTrust","","OpenTrust Root CA G3","1120e6f84cfc24b0be0540acda831b34603f","B7:C3:62:31:70:6E:81:07:8C:36:7C:B8:96:19:8F:1E:32:08:DD:92:69:49:DD:8F:57:09:A4:10:F7:5B:62:92","E7:43:C7:65:64:7F:20:C0:62:30:E5:88:ED:9E:B3:64:18:C3:2A:71:8C:5A:45:25:8A:B5:3C:83:F0:E4:F4:00","2014 May 26","2038 Jan 15","EC secp384r1","ecdsaWithSHA384","Websites;Email","1.3.6.1.4.1.22234.2.14.3.11","https://bugzilla.mozilla.org/show_bug.cgi?id=1025095","NSS 3.25","Firefox 49","https://opentrustrootcag3-test.opentrust.com","None","https://www.opentrustdtm.com/","France, EMEA","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/DBD_PC_Certificats_Nume%CC%81riques_Personnels_RGS_etou_ETSI_v_2_0.pdf","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/EV_SSL_CA_Certification_Practice%20Statement_v_1_2.pdf","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","LSTI","ETSI EN 319 411","2017.07.24"
"E-Tugra","E-Tuğra EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.","E-Tugra Sertifikasyon Merkezi","E-Tugra Certification Authority","6a683e9c519bcb53","B0:BF:D5:2B:B0:D7:D9:BD:92:BF:5D:4D:C1:3D:A2:55:C0:2C:54:2F:37:83:65:EA:89:39:11:F5:5E:55:F2:3C","E7:4F:96:BD:9C:3E:CB:DF:0F:E0:D5:69:69:BE:3B:56:A6:13:07:95:A4:F3:40:2A:C9:93:95:16:74:D4:62:1A","2013 Mar 05","2023 Mar 03","RSA 4096 bits","sha256WithRSAEncryption","Websites","2.16.792.3.0.4.1.1.4","https://bugzilla.mozilla.org/show_bug.cgi?id=877744","NSS 3.16","Firefox 29","https://evtest.e-tugra.com.tr/","","http://www.etugra.com.tr/","Turkey","https://www.e-tugra.com.tr/portals/6/Documents/E-Tugra_SI_v4.2_EN.pdf","https://www.e-tugra.com.tr/portals/6/Documents/E-Tugra_SUE_v4.2_EN.pdf","https://www.e-tugra.com.tr/Portals/6/Documents/LSTIAL_ETugra_2017.pdf","https://www.e-tugra.com.tr/Portals/6/Documents/LSTIAL_ETugra_2017.pdf","https://www.e-tugra.com.tr/Portals/6/Documents/LSTIAL_ETugra_2017.pdf","LSTI","ETSI EN 319 411","2017.09.09"
"Entrust","AffirmTrust","","AffirmTrust Commercial","7777062726a9b17c","03:76:AB:1D:54:C5:F9:80:3C:E4:B2:E2:01:A0:EE:7E:EF:7B:57:B6:36:E8:A9:3C:9B:8D:48:60:C9:6F:5F:A7","86:64:56:F0:52:48:74:89:EE:02:75:07:71:E0:7C:0F:14:22:AC:5A:C3:0C:CC:3A:DB:9C:1B:4C:CF:34:BB:02","2010 Jan 29","2030 Dec 31","RSA 2048 bits","sha256WithRSAEncryption","Websites","1.3.6.1.4.1.34697.2.1","https://bugzilla.mozilla.org/show_bug.cgi?id=543639","NSS 3.12.10","Firefox 6.0","https://validcommercial.affirmtrust.com/","","http://www.entrust.net/","Canada, Global","","https://www.affirmtrust.com/wp-content/uploads/AffirmTrust-SSL-CP-3_2-8-Sep-2017.pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-WebTrust-for-CA.pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-SSL-Baseline-Requirements..pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-WebTrust-for-EV-SSL.pdf","Deloitte Touche Tohmatsu Limited","WebTrust","2017.06.12"
"Entrust","AffirmTrust","","AffirmTrust Networking","7c4f04391cd4992d","0A:81:EC:5A:92:97:77:F1:45:90:4A:F3:8D:5D:50:9F:66:B5:E2:C5:8F:CD:B5:31:05:8B:0E:17:F3:F0:B4:1B","EB:D0:2E:0C:68:BC:98:3B:28:94:5E:6E:D3:27:B6:FB:93:A5:9C:F6:27:64:E5:49:12:A0:18:44:5A:60:6E:EB","2010 Jan 29","2030 Dec 31","RSA 2048 bits","sha1WithRSAEncryption","Websites","1.3.6.1.4.1.34697.2.2","https://bugzilla.mozilla.org/show_bug.cgi?id=543639","NSS 3.12.10","Firefox 6.0","https://validnetworking.affirmtrust.com/","","http://www.entrust.net/","Canada, Global","","https://www.affirmtrust.com/wp-content/uploads/AffirmTrust-SSL-CP-3_2-8-Sep-2017.pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-WebTrust-for-CA.pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-SSL-Baseline-Requirements..pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-WebTrust-for-EV-SSL.pdf","Deloitte Touche Tohmatsu Limited","WebTrust","2017.06.12"
"Entrust","AffirmTrust","","AffirmTrust Premium","6d8c1446b1a60aee","70:A7:3F:7F:37:6B:60:07:42:48:90:45:34:B1:14:82:D5:BF:0E:69:8E:CC:49:8D:F5:25:77:EB:F2:E9:3B:9A","76:29:79:59:FB:01:D1:83:1D:D6:57:AC:CF:26:D3:9C:A4:0E:7F:65:02:75:E3:03:0D:4C:3A:C6:7B:AD:C6:9F","2010 Jan 29","2040 Dec 31","RSA 4096 bits","sha384WithRSAEncryption","Websites","1.3.6.1.4.1.34697.2.3","https://bugzilla.mozilla.org/show_bug.cgi?id=543639","NSS 3.12.10","Firefox 6.0","https://validpremium.affirmtrust.com/","","http://www.entrust.net/","Canada, Global","","https://www.affirmtrust.com/wp-content/uploads/AffirmTrust-SSL-CP-3_2-8-Sep-2017.pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-WebTrust-for-CA.pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-SSL-Baseline-Requirements..pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-WebTrust-for-EV-SSL.pdf","Deloitte Touche Tohmatsu Limited","WebTrust","2017.06.12"
"Entrust","AffirmTrust","","AffirmTrust Premium ECC","7497258ac73f7a54","BD:71:FD:F6:DA:97:E4:CF:62:D1:64:7A:DD:25:81:B0:7D:79:AD:F8:39:7E:B4:EC:BA:9C:5E:84:88:82:14:23","56:C2:6F:47:C3:3D:A0:2A:FA:6D:30:6E:6C:8B:B2:C3:17:36:92:77:F6:C1:89:84:B5:F5:88:DD:35:F8:67:BC","2010 Jan 29","2040 Dec 31","EC secp384r1","ecdsaWithSHA384","Websites","1.3.6.1.4.1.34697.2.4","https://bugzilla.mozilla.org/show_bug.cgi?id=543639","NSS 3.12.10","Firefox 6.0","https://validpremiumecc.affirmtrust.com/","","http://www.entrust.net/","Canada, Global","","https://www.affirmtrust.com/wp-content/uploads/AffirmTrust-SSL-CP-3_2-8-Sep-2017.pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-WebTrust-for-CA.pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-SSL-Baseline-Requirements..pdf","https://www.affirmtrust.com/wp-content/uploads/20170114-20170531-AffirmTrust-WebTrust-for-EV-SSL.pdf","Deloitte Touche Tohmatsu Limited","WebTrust","2017.06.12"
"Entrust","Entrust, Inc.","www.entrust.net/CPS is incorporated by reference","Entrust Root Certification Authority","456b5054","73:C1:76:43:4F:1B:C6:D5:AD:F4:5B:0E:76:E7:27:28:7C:8D:E5:76:16:C1:E6:E6:14:1A:2B:2C:BC:7D:8E:4C","45:D4:55:E7:04:C2:34:EF:5B:16:9B:5F:EF:66:26:D8:3B:D3:BA:06:0F:9E:A8:49:BC:E3:BD:13:63:F1:7B:1D","2006 Nov 27","2026 Nov 27","RSA 2048 bits","sha1WithRSAEncryption","Websites","2.16.840.1.114028.10.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=382352","NSS 3.11.10","Firefox 3.0.2","https://validev.entrust.net","","http://www.entrust.net/","Canada, Global","","https://www.entrust.com/wp-content/uploads/2017/02/SSL-CPS-English-20170201-Version-2-16.pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","Deloitte Touche Tohmatsu Limited","WebTrust","2017.05.17"
"Entrust","Entrust, Inc.","See www.entrust.net/legal-terms","Entrust Root Certification Authority - EC1","00a68b79290000000050d091f9","02:ED:0E:B2:8C:14:DA:45:16:5C:56:67:91:70:0D:64:51:D7:FB:56:F0:B2:AB:1D:3B:8E:B0:70:E5:6E:DF:F5","34:F6:AA:8C:A6:EC:B6:8A:12:E8:95:6F:6C:91:FA:42:A0:98:67:37:D6:06:E4:F4:5E:58:E5:3A:16:80:6B:69","2012 Dec 18","2037 Dec 18","EC secp384r1","ecdsaWithSHA384","Websites;Email","2.16.840.1.114028.10.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=849950","NSS 3.18","Firefox 38","https://validec.entrust.net","None","http://www.entrust.net/","Canada, Global","","https://www.entrust.com/wp-content/uploads/2017/02/SSL-CPS-English-20170201-Version-2-16.pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","Deloitte Touche Tohmatsu Limited","WebTrust","2017.05.17"
"Entrust","Entrust, Inc.","See www.entrust.net/legal-terms","Entrust Root Certification Authority - G2","4a538c28","43:DF:57:74:B0:3E:7F:EF:5F:E4:0D:93:1A:7B:ED:F1:BB:2E:6B:42:73:8C:4E:6D:38:41:10:3D:3A:A7:F3:39","0F:90:E5:FF:2D:33:05:07:95:1E:77:F0:E6:AE:84:9A:85:04:3D:2F:8E:7A:5B:AF:32:89:FE:09:30:40:3B:51","2009 Jul 07","2030 Dec 07","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email","2.16.840.1.114028.10.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=849950","NSS 3.18","Firefox 38","https://validg2.entrust.net","None","http://www.entrust.net/","Canada, Global","","https://www.entrust.com/wp-content/uploads/2017/02/SSL-CPS-English-20170201-Version-2-16.pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","Deloitte Touche Tohmatsu Limited","WebTrust","2017.05.17"
"Entrust","Entrust.net","www.entrust.net/CPS_2048 incorp. by ref. (limits liab.)","Entrust.net Certification Authority (2048)","3863def8","6D:C4:71:72:E0:1C:BC:B0:BF:62:58:0D:89:5F:E2:B8:AC:9A:D4:F8:73:80:1E:0C:10:B9:C8:37:D2:1E:B1:77","7E:17:A7:DE:A5:38:6D:7B:45:DA:43:05:B7:72:E6:47:3C:FC:27:15:7D:EE:9D:16:E3:CD:15:CC:9F:39:DE:F1","1999 Dec 24","2029 Jul 24","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","2.16.840.1.114028.10.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=694536","NSS 3.15","Firefox 23","https://2048test.entrust.net","None","http://www.entrust.net/","Canada, Global","","https://www.entrust.com/wp-content/uploads/2017/02/SSL-CPS-English-20170201-Version-2-16.pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","https://cert.webtrust.org/SealFile?seal=2248&file=pdf","Deloitte Touche Tohmatsu Limited","WebTrust","2017.05.17"
"Global Digital Cybersecurity Authority Co., Ltd. (Formerly Guang Dong Certificate Authority (GDCA))","GUANG DONG CERTIFICATE AUTHORITY CO.,LTD.","","GDCA TrustAUTH R5 ROOT","7d0997fef047ea7a","BF:FF:8F:D0:44:33:48:7D:6A:8A:A6:0C:1A:29:76:7A:9F:C2:BB:B0:5E:42:0F:71:3A:13:B9:92:89:1D:38:93","F4:2B:91:CF:3A:EB:D5:21:31:F0:85:90:08:FC:31:D9:DA:BF:FE:55:CC:4B:CE:96:30:B9:16:E6:F5:1B:4E:D3","2014 Nov 26","2040 Dec 31","RSA 4096 bits","sha256WithRSAEncryption","Websites","1.2.156.112559.1.1.6.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1128392","NSS 3.34","Firefox 58","https://SSLTEST-1.95105813.cn","None","http://www.gdca.com.cn/","China","https://www.gdca.com.cn/customer_service/knowledge_universe/cp_cps/CPCPS-GDCA1.7GDCA-CP-V1.7/","https://bugzilla.mozilla.org/attachment.cgi?id=8871237https://www.gdca.com.cn/customer_service/knowledge_universe/cp_cps/CPCPS-GDCAV4.6GDCA-CPS-V4.6/","https://cert.webtrust.org/SealFile?seal=2231&file=pdf","https://cert.webtrust.org/SealFile?seal=2232&file=pdf","https://cert.webtrust.org/SealFile?seal=2233&file=pdf","PwC - PricewaterhouseCoopers International Limited","WebTrust","2017.04.14"
"GlobalSign","GlobalSign","GlobalSign ECC Root CA - R5","GlobalSign ECC Root CA - R5","605949e0262ebb55f90a778a71f94ad86c","17:9F:BC:14:8A:3D:D0:0F:D2:4E:A1:34:58:CC:43:BF:A7:F5:9C:81:82:D7:83:A5:13:F6:EB:EC:10:0C:89:24","A6:4A:EF:D1:34:37:67:45:93:14:DF:B5:FA:4B:1F:97:B3:82:C0:7E:EB:2D:55:C4:19:4F:91:E1:27:67:25:20","2012 Nov 13","2038 Jan 19","EC secp384r1","ecdsaWithSHA384","Websites;Email","1.3.6.1.4.1.4146.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=825954","NSS 3.17.3","Firefox 36","https://valid.r5.roots.globalsign.com","None","http://www.globalsign.com/","USA, Global","https://downloads.globalsign.com/acton/attachment/2674/f-08a3/1/-/-/-/-/GlobalSign-CP-v5.5_RELEASED.PDF","https://downloads.globalsign.com/acton/attachment/2674/f-08a2/1/-/-/-/-/GlobalSign-CA-CPS-v8.5_RELEASED.PDF","https://cert.webtrust.org/SealFile?seal=2287&file=pdf","https://cert.webtrust.org/SealFile?seal=2338&file=pdf","https://cert.webtrust.org/SealFile?seal=2288&file=pdf","BDO International Limited","WebTrust","2017.07.26"
"GlobalSign","GlobalSign","GlobalSign Root CA - R2","GlobalSign Extended Validation CA - SHA256 - G2 - intermediate cert being treated as root during transition","040000000001444ef04a55","24:F9:1C:07:05:A0:A5:33:86:41:B3:65:FB:0D:9D:97:09:B5:62:97:CF:F1:85:7E:73:C0:2C:16:36:D4:86:AA","AD:39:B8:1D:3C:4A:62:E0:B1:35:4E:71:72:E5:31:FB:50:9A:67:17:D3:03:A8:1C:19:D4:21:2D:17:72:97:26","2014 Feb 20","2021 Dec 15","RSA 2048 bits","sha256WithRSAEncryption","Websites","1.3.6.1.4.1.4146.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1349727","","","","","http://www.globalsign.com/","USA, Global","https://downloads.globalsign.com/acton/attachment/2674/f-08a3/1/-/-/-/-/GlobalSign-CP-v5.5_RELEASED.PDF","https://downloads.globalsign.com/acton/attachment/2674/f-08a2/1/-/-/-/-/GlobalSign-CA-CPS-v8.5_RELEASED.PDF","https://cert.webtrust.org/SealFile?seal=2287&file=pdf","https://cert.webtrust.org/SealFile?seal=2338&file=pdf","https://cert.webtrust.org/SealFile?seal=2288&file=pdf","BDO International Limited","WebTrust","2017.07.26"
"GlobalSign","GlobalSign nv-sa","Root CA","GlobalSign Root CA","040000000001154b5ac394","EB:D4:10:40:E4:BB:3E:C7:42:C9:E3:81:D3:1E:F2:A4:1A:48:B6:68:5C:96:E7:CE:F3:C1:DF:6C:D4:33:1C:99","E2:D6:1F:4A:55:EA:26:3B:B9:B6:FD:98:A2:62:54:39:E5:81:FD:54:31:79:AD:E5:5F:0A:6F:68:17:86:A5:DF","1998 Sep 01","2028 Jan 28","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","1.3.6.1.4.1.4146.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=406794","NSS 3.11.10","Firefox 3.0.2","https://valid.r1.roots.globalsign.com","","http://www.globalsign.com/","USA, Global","https://downloads.globalsign.com/acton/attachment/2674/f-08a3/1/-/-/-/-/GlobalSign-CP-v5.5_RELEASED.PDF","https://downloads.globalsign.com/acton/attachment/2674/f-08a2/1/-/-/-/-/GlobalSign-CA-CPS-v8.5_RELEASED.PDF","https://cert.webtrust.org/SealFile?seal=2287&file=pdf","https://cert.webtrust.org/SealFile?seal=2338&file=pdf","https://cert.webtrust.org/SealFile?seal=2288&file=pdf","BDO International Limited","WebTrust","2017.07.26"
"GlobalSign","GlobalSign","GlobalSign Root CA - R3","GlobalSign Root CA - R3","04000000000121585308a2","CB:B5:22:D7:B7:F1:27:AD:6A:01:13:86:5B:DF:1C:D4:10:2E:7D:07:59:AF:63:5A:7C:F4:72:0D:C9:63:C5:3B","36:E1:C3:DA:D1:E6:E9:54:50:58:86:73:25:C3:CC:79:E4:B9:C7:0E:41:B8:6E:AB:1A:55:0F:75:20:C6:D5:D6","2009 Mar 18","2029 Mar 18","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email","1.3.6.1.4.1.4146.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=507360","NSS 3.12.8","Firefox 3.6.12","https://valid.r3.roots.globalsign.com","","http://www.globalsign.com/","USA, Global","https://downloads.globalsign.com/acton/attachment/2674/f-08a3/1/-/-/-/-/GlobalSign-CP-v5.5_RELEASED.PDF","https://downloads.globalsign.com/acton/attachment/2674/f-08a2/1/-/-/-/-/GlobalSign-CA-CPS-v8.5_RELEASED.PDF","https://cert.webtrust.org/SealFile?seal=2287&file=pdf","https://cert.webtrust.org/SealFile?seal=2338&file=pdf","https://cert.webtrust.org/SealFile?seal=2288&file=pdf","BDO International Limited","WebTrust","2017.07.26"
"Go Daddy","The Go Daddy Group, Inc.","Go Daddy Class 2 Certification Authority","Go Daddy Class 2 CA","00","C3:84:6B:F2:4B:9E:93:CA:64:27:4C:0E:C6:7C:1E:CC:5E:02:4F:FC:AC:D2:D7:40:19:35:0E:81:FE:54:6A:E4","6C:B7:77:C3:B2:65:33:71:13:4A:B5:78:E0:FE:2E:60:F1:16:CF:56:20:8C:88:4E:65:40:D1:0B:EC:BC:B6:71","2004 Jun 29","2034 Jun 29","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","2.16.840.1.114413.1.7.23.3","https://bugzilla.mozilla.org/show_bug.cgi?id=284677","NSS 3.10","Firefox 1","https://valid.gdi.catest.godaddy.com/","","http://www.godaddy.com/","USA, Global","https://certs.godaddy.com/repository/certificate_practices/en/StarfieldCertificatePolicyandCertificationPracticeStatement.pdf","https://certs.godaddy.com/repository/certificate_practices/en/StarfieldCertificatePolicyandCertificationPracticeStatement.pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","KPMG","WebTrust","2017.08.31"
"Go Daddy","GoDaddy.com, Inc.","","Go Daddy Root Certificate Authority - G2","00","45:14:0B:32:47:EB:9C:C8:C5:B4:F0:D7:B5:30:91:F7:32:92:08:9E:6E:5A:63:E2:74:9D:D3:AC:A9:19:8E:DA","39:7D:A2:FA:AC:AB:0A:2C:3A:4C:4C:92:AF:13:36:1A:64:E6:9F:DE:24:43:02:00:DA:DB:15:09:83:FE:B3:0A","2009 Sep 01","2037 Dec 31","RSA 2048 bits","sha256WithRSAEncryption","Websites","2.16.840.1.114413.1.7.23.3","https://bugzilla.mozilla.org/show_bug.cgi?id=527056","NSS 3.12.10","Firefox 6.0","https://revoked.gdig2.catest.godaddy.com/","","http://www.godaddy.com/","USA, Global","https://certs.godaddy.com/repository/certificate_practices/en/StarfieldCertificatePolicyandCertificationPracticeStatement.pdf","https://certs.godaddy.com/repository/certificate_practices/en/StarfieldCertificatePolicyandCertificationPracticeStatement.pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","KPMG","WebTrust","2017.08.31"
"Go Daddy","Starfield Technologies, Inc.","Starfield Class 2 Certification Authority","Starfield Class 2 CA","00","14:65:FA:20:53:97:B8:76:FA:A6:F0:A9:95:8E:55:90:E4:0F:CC:7F:AA:4F:B7:C2:C8:67:75:21:FB:5F:B6:58","75:B9:17:DB:DF:BE:85:9F:4E:9B:E4:1A:26:23:57:27:F5:9A:A6:DE:BE:65:AA:E1:16:90:5F:31:73:9C:68:AF","2004 Jun 29","2034 Jun 29","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","2.16.840.1.114414.1.7.23.3","https://bugzilla.mozilla.org/show_bug.cgi?id=284677","NSS 3.10","Firefox 1","https://valid.sfi.catest.starfieldtech.com/","","http://www.godaddy.com/","USA, Global","https://certs.godaddy.com/repository/certificate_practices/en/StarfieldCertificatePolicyandCertificationPracticeStatement.pdf","https://certs.godaddy.com/repository/certificate_practices/en/StarfieldCertificatePolicyandCertificationPracticeStatement.pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","KPMG","WebTrust","2017.08.31"
"Go Daddy","Starfield Technologies, Inc.","","Starfield Root Certificate Authority - G2","00","2C:E1:CB:0B:F9:D2:F9:E1:02:99:3F:BE:21:51:52:C3:B2:DD:0C:AB:DE:1C:68:E5:31:9B:83:91:54:DB:B7:F5","2F:0C:DE:81:F2:EE:B6:40:DA:29:90:B7:3A:31:E2:17:2F:B5:98:07:96:6B:59:3B:B9:F4:03:E9:76:B0:F5:33","2009 Sep 01","2037 Dec 31","RSA 2048 bits","sha256WithRSAEncryption","Websites","2.16.840.1.114414.1.7.23.3","https://bugzilla.mozilla.org/show_bug.cgi?id=527056","NSS 3.12.10","Firefox 6.0","https://valid.sfig2.catest.starfieldtech.com/","","http://www.godaddy.com/","USA, Global","https://certs.godaddy.com/repository/certificate_practices/en/StarfieldCertificatePolicyandCertificationPracticeStatement.pdf","https://certs.godaddy.com/repository/certificate_practices/en/StarfieldCertificatePolicyandCertificationPracticeStatement.pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","https://cert.webtrust.org/SealFile?seal=2332&file=pdf","KPMG","WebTrust","2017.08.31"
