"Owner","Certificate Issuer Organization","Certificate Issuer Organizational Unit","Common Name or Certificate Name","Certificate Serial Number","SHA-256 Fingerprint","Certificate ID","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Trust Bits","EV Policy OID(s)","Approval Bug","NSS Release When First Included","Firefox Release When First Included","Test Website - Valid","Mozilla Applied Constraints","Company Website","Geographic Focus","Certificate Policy (CP)","Certification Practice Statement (CPS)","Standard Audit","BR Audit","EV Audit","Auditor","Standard Audit Type","Standard Audit Statement Dt"
"DigiCert","thawte, Inc.","Certification Services Division","thawte Primary Root CA - G3","600197b746a7eab4b49ad64b2ff790fb","4B:03:F4:58:07:AD:70:F2:1B:FC:2C:AE:71:C9:FD:E4:60:4C:06:4C:F5:FF:B6:86:BA:E5:DB:AA:D7:FD:D3:4C","04:02:90:26:49:1D:69:AE:D1:0E:10:EB:03:1C:CA:A4:F4:96:50:49:DB:C0:7F:45:6C:51:ED:1F:37:8A:AB:4E","2008 Apr 02","2037 Dec 01","RSA 2048 bits","sha256WithRSAEncryption","Websites","2.16.840.1.113733.1.7.48.1","https://bugzilla.mozilla.org/show_bug.cgi?id=484903","NSS 3.12.5","Firefox 3.6","https://valid-root9.thawte.com","","http://www.digicert.com/","USA, Global","https://www.thawte.com/cps/","https://www.thawte.com/cps/","https://www.symantec.com/content/en/us/about/media/repository/19_Symantec_Thawte_WTCA_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/22_Symantec_Thawte_WTBR_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/25_Symantec_Thawte_WTEV_period_end_11-30-2016.pdf","KPMG","WebTrust","2017.02.28"
"DigiCert","VeriSign, Inc.","VeriSign Trust Network","VeriSign Class 1 Public PCA - G3","008b5b75568454850b00cfaf3848ceb1a4","CB:B5:AF:18:5E:94:2A:24:02:F9:EA:CB:C0:ED:5B:B8:76:EE:A3:C1:22:36:23:D0:04:47:E4:F3:BA:55:4B:65","CE:63:AA:AD:B1:96:37:0A:03:23:AF:84:7C:40:E4:90:9C:E5:3F:77:93:18:0D:48:93:AC:3E:AE:FF:3C:79:72","1999 Oct 01","2036 Jul 16","RSA 2048 bits","sha1WithRSAEncryption","Email","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=490895","NSS 3.12.8","Firefox 3.6.12","","","http://www.digicert.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/18_Symantec_STN_WTCA_period_end_11-30-2016.pdf","","","KPMG","WebTrust","2017.02.28"
"DigiCert","VeriSign, Inc.","VeriSign Trust Network","VeriSign Class 2 Public PCA - G3","6170cb498c5f984529e7b0a6d9505b7a","92:A9:D9:83:3F:E1:94:4D:B3:66:E8:BF:AE:7A:95:B6:48:0C:2D:6C:6C:2A:1B:E6:5D:42:36:B6:08:FC:A1:BB","9F:35:5C:65:4B:91:AA:AD:69:0E:C0:FF:5C:06:C2:82:7F:65:B1:D4:DC:BD:17:E1:FC:86:45:68:A2:74:F3:F8","1999 Oct 01","2036 Jul 16","RSA 2048 bits","sha1WithRSAEncryption","Email","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=490895","NSS 3.12.8","Firefox 3.6.12","","","http://www.digicert.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/18_Symantec_STN_WTCA_period_end_11-30-2016.pdf","","","KPMG","WebTrust","2017.02.28"
"DigiCert","VeriSign, Inc.","VeriSign Trust Network","VeriSign Class 3 Public Primary Certification Authority - G3","009b7e0649a33e62b9d5ee90487129ef57","EB:04:CF:5E:B1:F3:9A:FA:76:2F:2B:B1:20:F2:96:CB:A5:20:C1:B9:7D:B1:58:95:65:B8:1C:B9:A1:7B:72:44","48:AE:AF:5C:35:E5:C4:3E:49:30:D6:04:58:51:43:21:ED:C1:F7:B2:C2:1E:07:60:63:22:81:AE:09:C5:12:A6","1999 Oct 01","2036 Jul 16","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=490895","NSS 3.12.8","Firefox 3.6.12","https://valid-root4.websecurity.symantec.com","","http://www.digicert.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/18_Symantec_STN_WTCA_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/21_Symantec_STN_WTBR_period_end_11-30-2016.pdf","","KPMG","WebTrust","2017.02.28"
"DigiCert","VeriSign, Inc.","VeriSign Trust Network","VeriSign Class 3 Public Primary Certification Authority - G4","2f80fe238c0e220f486712289187acb3","69:DD:D7:EA:90:BB:57:C9:3E:13:5D:C8:5E:A6:FC:D5:48:0B:60:32:39:BD:C4:54:FC:75:8B:2A:26:CF:7F:79","9E:49:2D:60:F6:8B:82:D4:2E:80:03:C2:38:79:32:E7:B1:18:0E:F8:67:B1:35:BA:4C:0E:7A:AC:15:B5:EC:7D","2007 Nov 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384","Websites;Email","2.16.840.1.113733.1.7.23.6","https://bugzilla.mozilla.org/show_bug.cgi?id=409235","NSS 3.12.6","Firefox 3.6.2","https://valid-root3.websecurity.symantec.com","","http://www.digicert.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/18_Symantec_STN_WTCA_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/21_Symantec_STN_WTBR_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/24_Symantec_STN_WTEV_period_end_11-30-2016.pdf","KPMG","WebTrust","2017.02.28"
"DigiCert","VeriSign, Inc.","VeriSign Trust Network","VeriSign Class 3 Public Primary Certification Authority - G5","18dad19e267de8bb4a2158cdcc6b3b4a","9A:CF:AB:7E:43:C8:D8:80:D0:6B:26:2A:94:DE:EE:E4:B4:65:99:89:C3:D0:CA:F1:9B:AF:64:05:E4:1A:B7:DF","09:E9:E4:69:F9:81:C8:F1:0C:49:4D:3B:20:82:2F:41:E8:E1:58:6A:31:40:5B:C8:56:1A:86:09:AF:AA:24:A1","2006 Nov 08","2036 Jul 16","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email","2.16.840.1.113733.1.7.23.6","https://bugzilla.mozilla.org/show_bug.cgi?id=402947","NSS 3.11.10","Firefox 3.0.2","https://valid-root1.websecurity.symantec.com","","http://www.digicert.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/18_Symantec_STN_WTCA_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/21_Symantec_STN_WTBR_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/24_Symantec_STN_WTEV_period_end_11-30-2016.pdf","KPMG","WebTrust","2017.02.28"
"DigiCert","VeriSign, Inc.","VeriSign Trust Network","VeriSign Universal Root Certification Authority","401ac46421b31321030ebbe4121ac51d","23:99:56:11:27:A5:71:25:DE:8C:EF:EA:61:0D:DF:2F:A0:78:B5:C8:06:7F:4E:82:82:90:BF:B8:60:E8:4B:3C","95:CF:F1:06:2F:F4:31:C1:79:C0:D5:BF:1D:2E:09:A9:C5:51:EA:17:CC:85:96:0C:E8:D1:3F:57:48:51:91:B2","2008 Apr 02","2037 Dec 01","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email","2.16.840.1.113733.1.7.23.6","https://bugzilla.mozilla.org/show_bug.cgi?id=484901","NSS 3.12.5","Firefox 3.6","https://valid-root2.websecurity.symantec.com/","","http://www.digicert.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/18_Symantec_STN_WTCA_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/21_Symantec_STN_WTBR_period_end_11-30-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/24_Symantec_STN_WTEV_period_end_11-30-2016.pdf","KPMG","WebTrust","2017.02.28"
"Disig, a.s.","Disig a.s.","","CA Disig Root R1","00c3039aee50906e28","F9:6F:23:F4:C3:E7:9C:07:7A:46:98:8D:5A:F5:90:06:76:A0:F0:39:CB:64:5D:D1:75:49:B2:16:C8:24:40:CE","10:50:14:6F:E6:3A:54:5F:2A:EF:5C:60:77:01:33:E1:54:65:63:15:90:09:9B:E2:C1:AB:47:15:CA:5C:9C:2A","2012 Jul 19","2042 Jul 19","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=792377","NSS 3.15","Firefox 23","","","https://eidas.disig.sk/en/cacert/","Slovak Republic","https://eidas.disig.sk/pdf/cp-disig.pdf","https://eidas.disig.sk/pdf/cps_ra_cadisig.pdf","https://eidas.disig.sk/pdf/Audit2017_report.pdf","https://eidas.disig.sk/pdf/Audit2017_report.pdf","","QSCert","ETSI EN 319 411","2017.12.15"
"Disig, a.s.","Disig a.s.","","CA Disig Root R2","0092b888dbb08ac163","E2:3D:4A:03:6D:7B:70:E9:F5:95:B1:42:20:79:D2:B9:1E:DF:BB:1F:B6:51:A0:63:3E:AA:8A:9D:C5:F8:07:03","F6:20:4B:87:DF:26:3B:5B:9C:82:AA:5A:99:12:D5:11:CB:87:0C:4B:46:E2:5D:E1:CC:AB:16:FF:4F:BD:6E:CC","2012 Jul 19","2042 Jul 19","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=792377","NSS 3.15","Firefox 23","https://testssl-valid-r2i1.disig.sk/","","https://eidas.disig.sk/en/cacert/","Slovak Republic","https://eidas.disig.sk/pdf/cp-disig.pdf","https://eidas.disig.sk/pdf/cps_ra_cadisig.pdf","https://eidas.disig.sk/pdf/Audit2017_report.pdf","https://eidas.disig.sk/pdf/Audit2017_report.pdf","","QSCert","ETSI EN 319 411","2017.12.15"
"DocuSign (OpenTrust/Keynectis)","Certplus","","Certplus Root CA G1","11205583e42d3e5456852d8337b72cdc4611","15:2A:40:2B:FC:DF:2C:D5:48:05:4D:22:75:B3:9C:7F:CA:3E:C0:97:80:78:B0:F0:EA:76:E5:61:A6:C7:43:3E","EE:19:D3:5B:F1:39:38:27:3C:93:3B:7F:0F:A9:2F:5B:9E:C0:3F:11:18:CC:4E:FA:B0:06:19:A8:7E:E9:5F:33","2014 May 26","2038 Jan 15","RSA 4096 bits","sha512WithRSAEncryption","Websites;Email","1.3.6.1.4.1.22234.3.5.3.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1025095","NSS 3.25","Firefox 49","https://certplusrootcag1-test.opentrust.com","None","https://www.opentrustdtm.com/","France, EMEA","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/DBD_PC_Certificats_Nume%CC%81riques_Personnels_RGS_etou_ETSI_v_2_0.pdf","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/EV_SSL_CA_Certification_Practice%20Statement_v_1_2.pdf","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","LSTI","ETSI EN 319 411","2017.07.24"
"DocuSign (OpenTrust/Keynectis)","Certplus","","Certplus Root CA G2","1120d991ceaea3e8c5e7ffe902afcf73bc55","6C:C0:50:41:E6:44:5E:74:69:6C:4C:FB:C9:F8:0F:54:3B:7E:AB:BB:44:B4:CE:6F:78:7C:6A:99:71:C4:2F:17","19:EC:05:CD:61:5B:29:CF:ED:CB:A5:11:D7:59:62:0C:9B:A3:1F:1F:F1:C9:85:C7:37:3C:8D:4B:E9:12:85:88","2014 May 26","2038 Jan 15","EC secp384r1","ecdsaWithSHA384","Websites;Email","1.3.6.1.4.1.22234.3.5.3.2","https://bugzilla.mozilla.org/show_bug.cgi?id=1025095","NSS 3.25","Firefox 49","https://certplusrootcag2-test.opentrust.com","None","https://www.opentrustdtm.com/","France, EMEA","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/DBD_PC_Certificats_Nume%CC%81riques_Personnels_RGS_etou_ETSI_v_2_0.pdf","https://www.docusign.fr/sites/default/files/Politiques%20de%20Certifications/EV_SSL_CA_Certification_Practice%20Statement_v_1_2.pdf","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","https://bug1297034.bmoattachments.org/attachment.cgi?id=8916590","LSTI","ETSI EN 319 411","2017.07.24"
